model_pair,benchmark,item_id,n_flips,score_var,unstable
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_128,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_129,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_13,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_130,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_131,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_132,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_133,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_134,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_135,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_136,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_137,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_138,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_139,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_14,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_140,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_141,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_142,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_143,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_144,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_145,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_146,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_147,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_148,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_149,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_15,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_150,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_151,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_152,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_153,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_154,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_155,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_156,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_157,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_158,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_159,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_16,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_160,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_161,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_162,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_163,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_164,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_165,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_166,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_167,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_168,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_169,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_17,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_170,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_171,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_172,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_173,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_174,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_175,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_176,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_177,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_178,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_179,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_18,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_180,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_181,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_182,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_183,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_184,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_185,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_186,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_187,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_188,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_189,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_19,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_190,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_191,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_192,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_193,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_194,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_195,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_196,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_197,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_198,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_199,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_2,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_20,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_21,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_22,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_23,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_24,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_25,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_26,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_27,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_28,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_29,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_3,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_30,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_31,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_32,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_33,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_34,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_35,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_36,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_37,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_38,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_39,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_4,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_40,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_41,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_42,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_43,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_44,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_45,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_46,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_47,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_48,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_49,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_5,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_50,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_51,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_52,1,0.16000000000000003,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_53,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_54,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_55,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_56,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_57,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_58,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_59,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_6,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_60,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_61,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_62,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_63,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_64,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_65,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_66,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_67,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_68,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_69,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_7,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_70,1,0.16000000000000003,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_71,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_72,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_73,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_74,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_75,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_76,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_77,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_78,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_79,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_8,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_80,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_81,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_82,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_83,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_84,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_85,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_86,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_87,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_88,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_89,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_9,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_90,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_91,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_92,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_93,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_94,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_95,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_96,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_97,1,0.16000000000000003,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_98,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_99,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_0,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_1,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_10,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_100,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_101,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_102,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_103,1,0.16000000000000006,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_104,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_105,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_106,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_107,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_108,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_109,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_11,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_110,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_111,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_112,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_113,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_114,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_115,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_116,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_117,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_118,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_119,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_12,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_120,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_121,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_122,1,0.16000000000000006,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_123,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_124,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_125,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_126,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_127,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_128,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_129,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_13,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_130,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_131,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_132,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_133,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_134,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_135,1,0.16000000000000006,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_136,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_137,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_138,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_139,2,0.16000000000000006,True
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_14,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_140,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_141,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_142,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_143,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_144,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_145,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_146,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_147,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_148,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_149,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_15,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_150,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_151,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_152,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_153,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_154,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_155,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_156,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_157,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_158,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_159,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_16,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_160,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_161,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_162,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_163,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_164,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_165,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_166,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_167,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_168,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_169,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_17,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_170,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_171,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_172,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_173,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_174,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_175,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_176,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_177,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_178,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_179,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_18,2,0.16000000000000006,True
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_180,1,0.24000000000000005,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_181,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_182,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_183,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_184,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_185,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_186,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,hellaswag_187,1,0.16,False
