model_pair,benchmark,condition,cond_type,run,item_id,correct,token_ids,n_tokens,accept_rate,construct,analysis_source,temperature,source_item_id
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,temp,0,gsm8k_proj_0,0,4194 5742 11 88993 8839 220 706 284 198 1419 972 30090 18 1389 220 21 284 220 22895 272 791 320 24150 912 315 82036 26446 59060 220 1187 14 1419 284 220 2166 627 7979 1047 9861 17 14 18 439 1690 20016 20016 2439 439 30090 2564 198 2028 1396 315 30090 20016 2439 284 220 17 14 18 9 220 2166 4194 220 843 198 4599 47880 1193 1419 9 1187 30090 369 994 2148 30090 2439 627 6153 7231 220 220 21 30090 20016 2439 505 24150 706 279 320 66 1396 315 30090 8839 24150 706 9861 400 220 17 9 1187 482 220 21 284 220 25178 198,115,1.0,math_reasoning,projected_gsm8k_200,1.5,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,spec,0,gsm8k_proj_1,0,220 4194 12331 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 1442 279 8415 649 1629 220 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 12331 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 627 10267 603 9855 430 279 37189 649 46764 348 7693 14 5686 627 12487 11 279 8415 649 1629 220 20 25800 348 7693 14 5686 627 22818 430 279 8415 649 1629 220 868 7693 14 5686 627 20 348 284 220 868 198 85 284 220 868 1717 115 220 20 198 85 284 220 18 198 55915 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 320 18 25800 220 1272 8 7693 627 39 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 13 128001,155,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,0,gsm8k_proj_1,0,220 4194 12331 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 1442 279 8415 649 1629 220 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 12331 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 627 10267 603 9855 430 279 37189 649 46764 348 7693 14 5686 627 12487 11 279 8415 649 1629 220 20 25800 348 7693 14 5686 627 22818 430 279 8415 649 1629 220 868 7693 14 5686 627 20 348 284 220 868 198 85 284 220 868 1717 115 220 20 198 85 284 220 18 198 55915 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 320 18 25800 220 1272 8 7693 627 39 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 13 128001,155,0.07407407407407407,math_reasoning,projected_gsm8k_200,0.7,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,spec,0,gsm8k_proj_1,0,220 15 791 23218 596 8415 649 220 20 3115 10819 1109 1077 37189 13 1442 279 8415 649 1629 220 868 7693 824 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 30 791 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 10267 279 9855 430 279 37189 649 46764 520 7693 14 5686 627 12487 11 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 20 25800 284 220 868 198 85 284 220 868 14 115 220 20 198 85 284 220 18 198 55915 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 25800 220 1272 8 7693 627 644 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 13 128001,155,0.6709677419354839,math_reasoning,projected_gsm8k_200,0.7,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,spec,0,gsm8k_proj_1,0,220 16 1687 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 627 1442 279 8415 649 1629 220 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 791 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 10267 279 9855 430 279 37189 649 46764 520 7693 14 5686 627 12487 11 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 20 25800 284 220 868 198 85 284 220 868 14 115 220 20 198 85 284 220 18 198 55915 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 25800 220 1272 8 7693 627 644 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 13 128001,155,0.6709677419354839,math_reasoning,projected_gsm8k_200,0.7,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,spec,0,gsm8k_proj_1,0,220 16 1687 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 627 1442 279 8415 649 1629 220 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 791 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 10267 279 9855 430 279 37189 649 46764 520 7693 14 5686 627 12487 11 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 20 25800 284 220 868 198 85 284 220 868 14 115 220 20 198 85 284 220 18 198 55915 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 25800 220 1272 8 7693 627 644 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 13 128001,155,0.6709677419354839,math_reasoning,projected_gsm8k_200,0.7,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,spec,0,gsm8k_proj_1,0,220 20 17 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 627 1442 279 8415 649 1629 220 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 27899 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 627 2746 279 9855 430 279 37189 649 46764 520 7693 14 5686 627 12487 11 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 20 25800 284 220 868 198 85 284 220 868 14 115 220 20 198 85 284 220 18 198 55915 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 25800 220 1272 8 7693 627 644 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 13 128001,155,0.6774193548387096,math_reasoning,projected_gsm8k_200,0.7,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,temp,0,gsm8k_proj_1,0,220 17 791 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 1442 279 8415 649 1629 220 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 10267 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 2746 279 9855 430 279 37189 649 46764 520 7693 304 5686 627 12487 11 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 20 25800 284 220 868 198 85 284 220 868 14 115 220 20 198 85 284 220 18 198 39 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 25800 220 1272 8 7693 627 55915 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 13 128001,155,1.0,math_reasoning,projected_gsm8k_200,0.3,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,temp,0,gsm8k_proj_1,0,220 17 791 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 1442 279 8415 649 1629 220 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 10267 23218 596 8415 374 220 20 3115 10819 1109 1077 37189 13 2746 596 9855 279 279 37189 649 46764 364 7693 824 5686 627 12487 279 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 20 25800 284 220 868 198 85 284 220 868 14 115 220 20 198 85 284 220 18 198 39 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 25800 220 1272 8 7693 627 55915 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 627 128001,155,1.0,math_reasoning,projected_gsm8k_200,0.5,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,temp,0,gsm8k_proj_1,0,220 18 1687 23218 753 8415 374 220 20 3115 10819 1109 1077 37189 13 1442 279 8415 649 1629 868 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 10267 23218 596 8415 374 220 20 3115 10819 198 1077 37189 13 2746 603 2980 279 37189 37189 649 46764 220 7693 824 5686 627 12487 279 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 868 25800 284 220 868 198 85 284 220 868 611 115 220 20 198 85 284 220 18 198 39 11 279 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 25800 220 1272 8 7693 627 55915 768 11 279 37189 649 46764 220 4364 7693 304 220 1272 6622 627 128001,155,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,temp,0,gsm8k_proj_1,0,220 18 2746 23218 8415 8415 374 220 20 3115 10819 1109 1077 37189 13 1442 279 8415 649 1629 17529 868 7693 14 5686 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 8468 23218 596 8415 374 220 20 3115 10819 11 1077 37189 11 4516 1174 2019 279 37189 37189 649 46764 220 7693 824 5686 627 8586 279 279 8415 649 1629 220 20 85 348 7693 14 5686 627 791 430 279 8415 649 1629 220 868 7693 14 5686 627 4516 25800 284 220 868 198 85 284 220 868 611 115 220 20 198 85 284 220 18 198 19 11 304 37189 649 46764 220 18 7693 14 5686 627 644 220 1272 6622 11 279 37189 649 46764 220 18 865 220 1272 8 284 627 55915 768 11 279 37189 649 46764 220 4364 7693 2971 220 1272 6622 627 128001,155,1.0,math_reasoning,projected_gsm8k_200,1.0,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,temp,0,gsm8k_proj_1,0,279 21 4438 23218 56470 6896 374 4194 20 3115 10819 1109 1077 37189 198 1442 279 8415 649 15473 128001 868 7693 14 17859 11 1268 1690 7693 649 1077 37189 46764 304 220 1272 6622 5380 5451 23218 596 37189 374 220 20 892 439 11 1077 37189 11 10267 4732 1906 279 37189 37189 1629 46764 220 7693 824 5686 627 4897 1057 439 8415 596 1629 400 20 85 348 4194 59 5686 59060 791 430 279 8415 4732 6847 400 868 7693 14 5686 627 4516 25800 4194 220 20 198 3832 284 220 868 1717 115 220 20 198 1687 284 220 18 198 7 11 4194 37189 649 46764 220 18 10702 14 5686 627 644 220 1272 4520 11 279 37189 649 46764 220 18 8 220 1272 8 284 627 55915 768 11 279 37189 649 46764 220 4364 7693 128001 220 1272 6622 1210 128001,155,1.0,math_reasoning,projected_gsm8k_200,1.5,gsm8k_8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,spec,0,gsm8k_proj_2,0,220 1135 13 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,0,gsm8k_proj_2,0,220 1135 13 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,spec,0,gsm8k_proj_2,0,128001 914 4860 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,spec,0,gsm8k_proj_2,0,128001 914 4860 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,spec,0,gsm8k_proj_2,0,128001 914 4860 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,spec,0,gsm8k_proj_2,0,128001 914 4860 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,temp,0,gsm8k_proj_2,0,220 1135 4860 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.3,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,temp,0,gsm8k_proj_2,0,220 1135 627 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.5,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,temp,0,gsm8k_proj_2,0,220 1272 627 128001,4,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,temp,0,gsm8k_proj_2,0,358 1774 482 128001,4,1.0,math_reasoning,projected_gsm8k_200,1.0,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,temp,0,gsm8k_proj_2,0,1095 2148 489 128001,4,1.0,math_reasoning,projected_gsm8k_200,1.5,gsm8k_14
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,spec,0,gsm8k_proj_3,0,6914 753 3619 279 3488 627 791 14351 5727 220 914 85138 4315 902 220 16 374 3958 11 220 508 4 527 653 52191 11 220 17 527 20897 323 279 2800 527 1695 627 7184 11 1095 603 1005 650 2734 13861 311 4097 420 304 264 9302 1376 627 10267 328 387 279 743 315 85138 627 8586 11 362 284 314 17519 11 95588 92 323 426 284 314 1844 52191 534 1687 649 1518 362 323 426 527 2536 45994 9885 287 7437 627 22447 112 362 12264 102 426 284 101989 198 22447 112 393 4444 8 284 393 5462 8 284 220 15 13 17 198 47 4444 12264 103 426 8 284 220 15 13 17 489 220 15 13 17 1389 220 15 13 17 25800 220 15 13 17 284 220 15 13 1927 198 3112 393 3844 8 284 220 16 198 7184 11 505 279 2728 2671 584 649 1518 512 16 8 2360 13 315 1695 85138 284 220 1187 198 4516 11 393 4444 529 12264 102 426 96206 284 220 16 1389 220 15 13 1927 284 220 15 13 1227 198 17 8 2360 13 315 653 52191 85138 284 220 20 198 4516 11 393 5462 8 284 220 15 13 17 198 18 8 2360 13 315 20897 85138 284 220 17 198 4516 11 393 4444 8 284 220 15 13 17 198 45600 11 279 912 13 315 1695 85138 374 220 1187 13 128001,255,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_16
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,0,gsm8k_proj_3,0,6914 753 3619 279 3488 627 791 14351 5727 220 914 85138 4315 902 220 16 374 3958 11 220 508 4 527 653 52191 11 220 17 527 20897 323 279 2800 527 1695 627 7184 11 1095 603 1005 650 2734 13861 311 4097 420 304 264 9302 1376 627 10267 328 387 279 743 315 85138 627 8586 11 362 284 314 17519 11 95588 92 323 426 284 314 1844 52191 534 1687 649 1518 362 323 426 527 2536 45994 9885 287 7437 627 22447 112 362 12264 102 426 284 101989 198 22447 112 393 4444 8 284 393 5462 8 284 220 15 13 17 198 47 4444 12264 103 426 8 284 220 15 13 17 489 220 15 13 17 1389 220 15 13 17 25800 220 15 13 17 284 220 15 13 1927 198 3112 393 3844 8 284 220 16 198 7184 11 505 279 2728 2671 584 649 1518 512 16 8 2360 13 315 1695 85138 284 220 1187 198 4516 11 393 4444 529 12264 102 426 96206 284 220 16 1389 220 15 13 1927 284 220 15 13 1227 198 17 8 2360 13 315 653 52191 85138 284 220 20 198 4516 11 393 5462 8 284 220 15 13 17 198 18 8 2360 13 315 20897 85138 284 220 17 198 4516 11 393 4444 8 284 220 15 13 17 198 45600 11 279 912 13 315 1695 85138 374 220 1187 13 128001,255,0.023529411764705882,math_reasoning,projected_gsm8k_200,0.7,gsm8k_16
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,spec,0,gsm8k_proj_3,0,362 603 9855 279 3488 449 7749 14351 5727 220 914 85138 13 902 220 16 374 264 11 220 17 4 527 653 52191 11 220 17 527 20897 323 279 2800 527 1695 627 10267 11 1095 753 2980 279 2734 36361 311 3619 279 828 279 2731 11827 627 8468 603 387 279 20789 315 682 304 10267 11 584 374 314 14176 85138 653 11 323 426 284 314 1844 52191 534 2903 649 3350 430 323 426 527 264 29352 9885 287 743 627 4516 112 4194 323 102 426 284 101989 198 45 112 362 320 8 489 220 5462 8 284 220 16 13 17 198 47 3844 549 103 426 8 284 393 15 13 17 489 220 15 13 17 284 220 15 198 2437 25800 220 15 13 17 198 220 15 13 1927 198 1687 11 3844 8 284 220 16 198 7184 11 584 279 2728 828 11 649 1518 345 5454 13 220 315 315 1695 85138 284 220 914 198 2028 11 1057 4444 8 12264 102 426 529 284 220 16 1389 220 15 13 1927 284 220 15 13 1227 198 47 8 2360 13 315 1695 52191 85138 284 220 20 198 22447 11 393 4444 8 284 220 20 13 17 198 18 8 2360 13 315 20897 85138 284 220 17 198 4516 11 393 4444 8 284 220 15 13 17 198 2170 11 505 2631 13 315 85138 85138 284 220 1187 627 128001,255,0.023529411764705882,math_reasoning,projected_gsm8k_200,0.7,gsm8k_16
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,spec,0,gsm8k_proj_3,0,362 279 1176 279 3488 1176 7749 14351 5727 220 914 85138 627 902 220 16 374 3958 11 220 508 4 527 653 52191 11 220 17 527 20897 323 279 2800 527 1695 627 791 11 1095 753 9855 279 2734 13861 311 4097 279 3575 264 2731 1376 627 10267 603 79164 279 2860 315 682 627 55915 11 279 284 743 359 85138 1252 92 323 426 284 314 1844 52191 11 3915 1440 4097 430 323 426 527 50917 29352 9885 287 11 439 55915 112 308 12264 102 426 284 220 198 7749 112 393 320 8 284 308 5462 8 284 220 15 13 17 198 11439 3844 12264 103 426 8 284 393 15 13 18 489 220 16 13 17 284 220 15 284 17 25800 220 15 13 17 198 220 15 13 1927 198 47 11 4444 8 284 220 16 198 55915 11 505 279 2728 2038 11 649 1518 430 72 13 220 13 315 1695 85138 284 220 914 198 47 11 393 320 101122 12264 103 426 8 284 220 16 1389 320 15 13 1927 198 220 15 13 1227 198 17 8 2360 13 315 3958 52191 85138 284 220 508 198 4516 11 393 4444 96206 284 220 15 13 17 198 47 8 2360 13 315 20897 85138 284 220 17 198 4516 11 393 4444 8 284 220 15 13 2318 198 39 11 279 4495 13 315 1695 85138 284 220 1187 16853 128001,255,0.023529411764705882,math_reasoning,projected_gsm8k_200,0.7,gsm8k_16
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,spec,0,gsm8k_proj_3,0,362 2860 1935 279 3488 13 3947 14351 5727 220 914 85138 627 902 220 16 374 3958 13 220 508 4 527 653 52191 11 220 17 527 20897 323 279 2800 527 1695 627 10267 11 1095 603 3350 279 2734 36361 311 11886 279 2038 264 2731 11827 627 644 480 387 279 743 902 682 323 7184 11 584 11105 3958 359 85138 1252 11 323 426 284 314 1844 52191 11 7184 1205 1518 430 12264 426 527 50917 29352 9885 287 7437 627 39 112 308 12264 102 426 284 98975 198 45600 112 308 4444 8 284 220 4444 8 284 220 15 198 17 198 47 4444 12264 103 426 8 284 220 15 13 18 489 220 15 13 17 25173 220 15 13 2437 25800 220 15 13 17 284 220 15 13 1927 198 7184 11 3844 8 284 220 16 198 4516 11 584 650 7216 2038 11 649 1518 430 5454 13 220 13 315 1695 85138 284 220 914 198 17 11 584 6838 549 12264 102 426 96206 284 220 15 1389 220 15 13 1927 284 220 15 13 1227 198 8586 8 2360 13 315 1695 52191 85138 284 220 508 198 4516 11 393 4444 8 284 220 20 13 17 198 18 8 2360 13 315 3958 85138 284 220 17 198 4516 11 393 4444 8 284 220 15 13 17 198 19 11 505 4495 13 315 1695 85138 374 220 1187 13 128001,255,0.023529411764705882,math_reasoning,projected_gsm8k_200,0.7,gsm8k_16
